date,value
1905-04-29,26.663
1906-04-28,23.598
1907-02-12,26.931
1907-06-18,24.74
1907-10-16,25.806
1907-12-01,24.364
1908-05-21,24.477
1908-07-12,23.901
1909-02-07,23.175
1909-09-27,23.227
1910-01-28,21.672
1910-09-25,21.87
1910-12-11,21.439
1911-09-22,21.089
1912-03-28,23.709
1913-02-16,21.669
1914-01-17,21.752
1914-09-29,20.761
1915-08-29,23.479
1916-05-09,23.824
1917-03-04,23.105
1917-12-13,23.11
1918-08-24,21.759
1918-11-12,22.073
1919-10-13,21.937
1920-09-11,20.035
1921-03-06,23.59
1921-10-11,21.672
1921-10-25,22.222
1922-04-19,22.123
1922-09-18,23.95
1923-06-12,23.504
1923-08-04,22.238
1923-08-20,23.142
1924-08-09,21.059
1924-11-02,21.573
1925-04-15,21.548
1926-04-04,20
1926-10-30,22.424
1927-05-15,20.615
1927-06-15,21.761
1928-04-05,22.874
1928-04-29,24.104
1928-06-15,23.748
1929-01-06,23.262
1929-11-29,22.907
1930-06-09,21.519
1930-12-15,22.025
1931-02-03,22.604
1931-08-17,20.894
1932-07-06,24.677
1932-07-19,23.673
1933-05-22,25.32
1933-12-15,23.583
1934-06-23,24.671
1934-07-30,24.454
1934-10-26,24.122
1935-08-30,24.252
1936-02-08,22.084
1936-05-24,22.991
1936-08-06,23.287
1937-02-08,23.049
1937-08-12,25.076
1938-07-08,24.037
1938-10-20,24.43
1939-05-26,24.667
1939-07-09,26.451
1940-04-11,25.618
1940-11-26,25.014
1941-01-27,25.11
1941-02-04,22.964
1941-06-08,23.981
1942-01-17,23.798
1942-02-01,22.27
1942-12-19,24.775
1943-07-22,22.646
1944-02-06,23.988
1944-05-16,24.737
1944-06-15,26.276
1944-10-07,25.816
1945-06-24,25.21
1946-03-01,25.199
1946-08-02,23.162
1946-08-05,24.707
1947-01-19,24.364
1947-06-07,22.644
1947-09-12,25.565
1948-09-01,24.062
1948-11-27,25.431
1949-05-23,24.635
1949-11-25,27.009
1950-07-28,26.606
1951-01-17,26.268
1951-07-16,26.462
1952-04-19,25.246
1953-03-03,25.18
1953-11-03,24.657
1954-07-10,23.304
1955-04-27,26.982
1956-02-29,26.199
1956-04-18,27.21
1956-08-02,26.122
1957-07-15,26.706
1958-04-29,26.878
1959-03-13,26.152
1959-09-30,26.379
1960-04-23,24.712
1961-03-21,25.688
1961-10-15,24.99
1962-09-02,24.239
1963-06-09,26.721
1963-09-15,23.475
1963-10-23,24.767
1964-07-11,26.219
1964-08-10,28.361
1965-06-10,28.599
1965-12-09,27.914
1966-03-22,27.784
1966-11-05,25.693
1967-04-07,26.881
1967-05-26,26.217
1967-09-06,24.218
1968-02-19,27.914
1968-02-24,26.975
1968-11-20,28.527
1969-05-28,27.139
1969-06-04,28.982
1969-12-14,28.169
1970-07-04,28.056
1971-03-06,29.136
1971-11-23,26.291
1971-11-26,26.987
1972-08-17,26.589
1972-12-12,24.848
1973-08-20,27.543
1974-06-04,26.896
1975-03-14,28.878
1975-12-23,27.39
1976-05-28,28.065
1977-04-13,28.141
1978-04-02,29.048
1978-12-09,28.484
1979-01-27,26.634
1979-06-08,27.735
1979-09-26,27.132
1980-04-12,24.924
1980-06-03,28.963
1980-10-19,26.589
1981-08-17,27.931
1982-06-27,28.009
1982-12-16,29.229
1983-12-04,28.759
1984-09-27,28.405
1985-05-14,27.945
1985-09-19,25.912
1985-09-23,26.619
1985-10-14,26.076
1986-01-05,25.286
1986-02-20,27.66
1986-05-09,25.951
1986-08-22,26.398
1987-06-08,25.565
1987-09-26,28.865
1987-11-21,30
1988-10-30,29.261
1989-06-30,29.012
1989-07-31,26.992
1989-11-06,27.897
