date,value
2019-01-01,135.98
2019-01-02,147.49
2019-01-03,146.93
2019-01-04,139.89
2019-01-05,125.6
2019-01-06,108.13
2019-01-07,115
2019-01-08,118.8
2019-01-09,124.66
2019-01-10,113.44
2019-01-11,115.78
2019-01-12,113.46
2019-01-13,122
2019-01-14,118.68
2019-01-15,117.45
2019-01-16,118.7
2019-01-17,119.8
2019-01-18,115.81
2019-01-19,118.76
2019-01-20,125.3
2019-01-21,125.25
2019-01-22,124.5
2019-01-23,123.62
2019-01-24,123
2019-01-25,124
2019-01-26,126.93
2019-01-27,133.85
2019-01-28,133.22
2019-01-29,136
2019-01-30,135.47
2019-01-31,130.58
2019-02-01,132.59
2019-02-02,132.25
2019-02-03,129.9
2019-02-04,129.78
2019-02-05,129.4
2019-02-06,122.5
2019-02-07,123.84
2019-02-08,123.47
2019-02-09,123.1
2019-02-10,119
2019-02-11,111.42
2019-02-12,108.99
2019-02-13,110.1
2019-02-14,109.6
2019-02-15,111.79
2019-02-16,110.3
2019-02-17,104.7
2019-02-18,103.7
2019-02-19,101.6
2019-02-20,102.21
2019-02-21,111.11
2019-02-22,110.22
2019-02-23,114.3
2019-02-24,114.99
2019-02-25,109.96
2019-02-26,108.8
2019-02-27,108.33
2019-02-28,106.47
2019-03-01,105.49
2019-03-02,104
2019-03-03,101.74
2019-03-04,99.99
2019-03-05,98.12
2019-03-06,97.66
2019-03-07,92.3
2019-03-08,90.98
2019-03-09,83.11
2019-03-10,80
2019-03-11,75
2019-03-12,74.56
2019-03-13,80
2019-03-14,78.3
2019-03-15,87
2019-03-16,90.28
2019-03-17,104
2019-03-18,98.25
2019-03-19,98.7
2019-03-20,101.9
2019-03-21,99.86
2019-03-22,99.97
2019-03-23,98.8
2019-03-24,95.2
2019-03-25,93.1
2019-03-26,91.95
2019-03-27,92
2019-03-28,96.82
2019-03-29,95.99
2019-03-30,97.33
2019-03-31,97.47
2019-04-01,97
2019-04-02,100.58
2019-04-03,102.5
2019-04-04,107.99
2019-04-05,111.34
2019-04-06,108
2019-04-07,108
2019-04-08,105.78
2019-04-09,105.95
2019-04-10,107.77
2019-04-11,107.38
2019-04-12,106.75
2019-04-13,106.75
2019-04-14,105.75
2019-04-15,103.9
2019-04-16,105.19
2019-04-17,108
2019-04-18,109.35
2019-04-19,115
2019-04-20,113.25
2019-04-21,112.3
2019-04-22,113.75
2019-04-23,114.69
2019-04-24,123.06
2019-04-25,123.01
2019-04-26,124.91
2019-04-27,123.5
2019-04-28,122
2019-04-29,121.39
2019-04-30,122.99
2019-05-01,122.75
2019-05-02,127.24
2019-05-03,127.32
2019-05-04,123.7
2019-05-05,135.75
2019-05-06,140.89
2019-05-07,145.81
2019-05-08,146.5
2019-05-09,138.34
2019-05-10,144.5
2019-05-11,131.44
2019-05-12,127.34
2019-05-13,125.94
2019-05-14,124.72
2019-05-15,129.06
2019-05-16,129.74
2019-05-17,137.83
2019-05-18,136.08
2019-05-19,137.58
2019-05-20,135.85
2019-05-21,131.44
2019-05-22,132.72
2019-05-23,132.76
2019-05-24,133.2
2019-05-25,131.77
2019-05-26,135.62
2019-05-27,128.61
2019-05-28,133.94
2019-05-29,132.72
2019-05-30,127.46
2019-05-31,129.69
2019-06-01,134.93
2019-06-02,134.74
2019-06-03,135.63
2019-06-04,140.61
2019-06-05,138.35
2019-06-06,134.63
2019-06-07,133.59
2019-06-08,123.63
2019-06-09,130.09
2019-06-10,130.44
2019-06-11,129.66
2019-06-12,130.27
2019-06-13,127.47
2019-06-14,131.75
2019-06-15,131.5
2019-06-16,131.81
2019-06-17,135.66
2019-06-18,138.66
2019-06-19,144.12
2019-06-20,145.39
2019-06-21,152.23
2019-06-22,147.42
2019-06-23,155.96
2019-06-24,177.48
2019-06-25,174.91
2019-06-26,184.82
2019-06-27,196.27
2019-06-28,213.62
2019-06-29,217.42
2019-06-30,198.87
2019-07-01,188.41
2019-07-02,196.44
2019-07-03,198.62
2019-07-04,204.79
2019-07-05,209.16
2019-07-06,205.18
2019-07-07,206.65
2019-07-08,207.76
2019-07-09,215.05
2019-07-10,231.01
2019-07-11,250.66
2019-07-12,263
2019-07-13,304.17
2019-07-14,338.66
2019-07-15,370.82
2019-07-16,350.7
2019-07-17,351.27
2019-07-18,362.81
2019-07-19,414.05
2019-07-20,425.9
2019-07-21,437.89
2019-07-22,450.26
2019-07-23,500.58
2019-07-24,703.78
2019-07-25,806.11
2019-07-26,599.65
2019-07-27,733.4
2019-07-28,780.85
2019-07-29,844.97
2019-07-30,807.36
2019-07-31,810.68
2019-08-01,928.54
2019-08-02,1001.96
2019-08-03,1077.56
2019-08-04,1146.97
2019-08-05,1156.14
2019-08-06,1133.08
2019-08-07,1055.42
2019-08-08,1096
2019-08-09,1156.12
2019-08-10,1154.36
2019-08-11,1042.38
2019-08-12,854.64
2019-08-13,802.51
2019-08-14,921.93
2019-08-15,997.23
2019-08-16,1001.58
2019-08-17,901.94
2019-08-18,941.79
2019-08-19,904.65
2019-08-20,886.16
2019-08-21,882.25
2019-08-22,754.83
2019-08-23,679.32
2019-08-24,707.23
2019-08-25,729.16
2019-08-26,654.27
2019-08-27,666.74
2019-08-28,680.91
2019-08-29,684.39
2019-08-30,682.7
2019-08-31,777.75
2019-09-01,777.51
2019-09-02,747.06
2019-09-03,748.61
2019-09-04,766.6
2019-09-05,760.58
2019-09-06,775.35
2019-09-07,820.31
2019-09-08,834.15
2019-09-09,859.51
2019-09-10,952.4
2019-09-11,1017.12
2019-09-12,965.74
2019-09-13,870.68
2019-09-14,864.36
2019-09-15,871.19
2019-09-16,921.48
2019-09-17,928.52
2019-09-18,861.29
2019-09-19,855.69
2019-09-20,872.81
2019-09-21,866.16
2019-09-22,842.91
2019-09-23,841.49
2019-09-24,870.96
2019-09-25,886.39
2019-09-26,881.2
2019-09-27,870.15
2019-09-28,851.57
2019-09-29,822.43
2019-09-30,861.45
2019-10-01,897.02
2019-10-02,893
2019-10-03,832.5
2019-10-04,836.87
2019-10-05,830.5
2019-10-06,831.87
2019-10-07,853.52
2019-10-08,844.72
2019-10-09,826.48
2019-10-10,840.17
2019-10-11,837.32
2019-10-12,819.81
2019-10-13,783.2
2019-10-14,721.82
2019-10-15,712.27
2019-10-16,703.71
2019-10-17,712.46
2019-10-18,672.9
2019-10-19,657.99
2019-10-20,691.72
2019-10-21,661.84
2019-10-22,665.1
2019-10-23,656.95
2019-10-24,645.76
2019-10-25,631.77
2019-10-26,627.73
2019-10-27,582.96
2019-10-28,614.48
2019-10-29,639.91
2019-10-30,607.61
2019-10-31,541.38
2019-11-01,603.8
2019-11-02,594.05
2019-11-03,584.14
2019-11-04,573.38
2019-11-05,570.48
2019-11-06,702.91
2019-11-07,696.22
2019-11-08,674.28
2019-11-09,669.77
2019-11-10,665.34
2019-11-11,635.14
2019-11-12,643.95
2019-11-13,644.76
2019-11-14,638.42
2019-11-15,648.03
2019-11-16,644.2
2019-11-17,639.53
2019-11-18,639.14
2019-11-19,637.52
2019-11-20,632.68
2019-11-21,622.39
2019-11-22,622
2019-11-23,609.75
2019-11-24,604.59
2019-11-25,572.55
2019-11-26,570.24
2019-11-27,586.56
2019-11-28,585.44
2019-11-29,590.03
2019-11-30,580.56
2019-12-01,526.02
2019-12-02,504.86
2019-12-03,492.37
2019-12-04,483.02
2019-12-05,495.34
2019-12-06,495.05
2019-12-07,449.56
2019-12-08,454.65
2019-12-09,463.57
2019-12-10,466.32
2019-12-11,462.56
2019-12-12,457.42
2019-12-13,455.73
2019-12-14,443.37
2019-12-15,429.77
2019-12-16,439.61
2019-12-17,427.4
2019-12-18,469.75
2019-12-19,519
2019-12-20,542.38
2019-12-21,533.52
2019-12-22,498.6
2019-12-23,503.56
2019-12-24,510.87
2019-12-25,510.57
2019-12-26,503.22
2019-12-27,493.25
2019-12-28,500.46
2019-12-29,500.3
2019-12-30,464.54
2019-12-31,459.33
2020-01-01,447.53
2020-01-02,451.64
2020-01-03,451.1
2020-01-04,460.61
2020-01-05,457.93
2020-01-06,449.4
2020-01-07,439.77
2020-01-08,440.97
2020-01-09,448.04
2020-01-10,446.13
2020-01-11,448.4
2020-01-12,452.69
2020-01-13,455.77
2020-01-14,455.34
2020-01-15,442.26
2020-01-16,441.98
2020-01-17,446.66
2020-01-18,449.8
2020-01-19,450.66
2020-01-20,451.98
2020-01-21,449.77
2020-01-22,447.56
2020-01-23,491.44
2020-01-24,494.37
2020-01-25,525.36
2020-01-26,541.96
2020-01-27,525.17
2020-01-28,576.48
2020-01-29,588.39
2020-01-30,589.52
2020-01-31,578.62
2020-02-01,577.1
2020-02-02,618.46
2020-02-03,624.72
2020-02-04,671.51
2020-02-05,665.5
2020-02-06,674.11
2020-02-07,668.56
2020-02-08,663.53
2020-02-09,661.37
2020-02-10,656.94
2020-02-11,658.88
2020-02-12,657.7
2020-02-13,659.62
2020-02-14,657.04
2020-02-15,638.11
2020-02-16,615.14
2020-02-17,601.27
2020-02-18,592.94
2020-02-19,608.72
2020-02-20,610.89
2020-02-21,615.88
2020-02-22,612.24
2020-02-23,599.75
2020-02-24,599.46
2020-02-25,606
2020-02-26,603.21
2020-02-27,596.97
2020-02-28,583.6
