date,value
2019-01-01,22.3213760911591
2019-01-02,27.3485485678362
2019-01-03,34.5194679607521
2019-01-04,68.8123450161947
2019-01-05,101.048878645504
2019-01-06,128.746306275233
2019-01-07,167.472066360089
2019-01-08,206.347436123395
2019-01-09,266.481154976491
2019-01-10,315.242791955049
2019-01-11,359.286591714195
2019-01-12,462.132589372837
2019-01-13,522.130716798169
2019-01-14,609.452755051555
2019-01-15,697.390482934635
2019-01-16,782.635398038181
2019-01-17,910.883998932408
2019-01-18,999.198703468705
2019-01-19,1130.81485961317
2019-01-20,1226.43590886429
2019-01-21,1330.29243645069
2019-01-22,1470.21263158071
2019-01-23,1609.34936870831
2019-01-24,1742.55765930944
2019-01-25,1907.63356868503
2019-01-26,2046.06127803477
2019-01-27,2196.92299740374
2019-01-28,2358.01905517115
2019-01-29,2546.31330949914
2019-01-30,2735.95103883164
2019-01-31,2916.65733223563
2019-02-01,3077.94814806685
2019-02-02,3273.52011634968
2019-02-03,3456.41085126805
2019-02-04,3694.7004842173
2019-02-05,3909.38172653354
2019-02-06,4125.33361651426
2019-02-07,4348.41734421189
2019-02-08,4578.65396061399
2019-02-09,4811.08119883405
2019-02-10,5066.4890205301
2019-02-11,5309.31116946632
2019-02-12,5570.54208424089
2019-02-13,5830.18987376756
2019-02-14,6077.5759870343
2019-02-15,6373.66245782112
2019-02-16,6645.8223050756
2019-02-17,6932.99119322333
2019-02-18,7230.94648441032
2019-02-19,7513.29151885518
2019-02-20,7810.5190469678
2019-02-21,8125.54930084757
2019-02-22,8433.22856360044
2019-02-23,8773.88436716048
2019-02-24,9101.81282630197
2019-02-25,9414.52757362676
2019-02-26,9770.34260644711
2019-02-27,10120.4097584373
2019-02-28,10474.1090067392
2019-03-01,10815.1445705002
2019-03-02,11184.2739420656
2019-03-03,11562.892836959
2019-03-04,11923.6159878412
2019-03-05,12319.768195845
2019-03-06,12694.1666187831
2019-03-07,13091.5736869221
2019-03-08,13463.4784560769
2019-03-09,13882.1585965567
2019-03-10,14296.3080379239
2019-03-11,14701.0777352307
2019-03-12,15144.7009218815
2019-03-13,15581.2730819958
2019-03-14,16013.3568939789
2019-03-15,16461.4040225101
2019-03-16,16895.4296528986
2019-03-17,17341.6999806192
2019-03-18,17820.9576910616
2019-03-19,18263.9533300863
2019-03-20,18749.4037038393
2019-03-21,19222.6057392336
2019-03-22,19694.1866812888
2019-03-23,20204.9325505832
2019-03-24,20692.7654653951
2019-03-25,21190.1668422339
2019-03-26,21699.1841532521
2019-03-27,22210.354434187
